cod_produto,nome_produto,cod_safra,cod_produto,volume,ano,mes
1,"Cereais, leguminosas e oleaginosas",1000,1,263154606,2022,6
1,"Cereais, leguminosas e oleaginosas",1027,1,307305876,2023,6
2,"Algodão herbáceo",1001,2,6740437,2022,6
2,"Algodão herbáceo",1028,2,6930751,2023,6
3,Amendoim,1002,3,835020,2022,6
3,Amendoim,1029,3,800037,2023,6
4,Arroz,1003,4,10658247,2022,6
4,Arroz,1030,4,10020843,2023,6
5,Aveia,1004,5,1202885,2022,6
5,Aveia,1031,5,1195562,2023,6
6,Centeio,1005,6,8006,2022,6
6,Centeio,1032,6,8942,2023,6
7,Cevada,1006,7,503586,2022,6
7,Cevada,1033,7,511255,2023,6
8,Feijão,1007,8,1085962,2022,6
8,Feijão,1034,8,1111089,2023,6
9,Girassol,1008,9,60181,2022,6
9,Girassol,1035,9,61275,2023,6
10,Mamona,1009,10,38920,2022,6
10,Mamona,1036,10,33353,2023,6
11,Milho,1010,11,25426766,2022,6
11,Milho,1037,11,28117912,2023,6
12,Soja,1011,12,119523533,2022,6
12,Soja,1038,12,148376257,2023,6
13,Sorgo,1012,13,2850368,2022,6
13,Sorgo,1039,13,3818734,2023,6
14,Trigo,1013,14,10042331,2022,6
14,Trigo,1040,14,10624720,2023,6
15,Triticale,1014,15,63199,2022,6
15,Triticale,1041,15,70480,2023,6
16,Banana,1015,16,7065752,2022,6
16,Banana,1042,16,7033297,2023,6
17,"Batata - inglesa",1016,17,1695919,2022,6
17,"Batata - inglesa",1043,17,1844690,2023,6
18,Cacau,1017,18,290118,2022,6
18,Cacau,1044,18,290375,2023,6
19,"Café arábico",1018,19,2035314,2022,6
19,"Café arábico",1045,19,2306441,2023,6
20,"Café canephora",1019,20,1104313,2022,6
20,"Café canephora",1046,20,999391,2023,6
21,Cana-de-açúcar,1020,21,625679400,2022,6
21,Cana-de-açúcar,1047,21,666166727,2023,6
22,Castanha-de-caju,1021,22,147174,2022,6
22,Castanha-de-caju,1048,22,122051,2023,6
23,Fumo,1022,23,665412,2022,6
23,Fumo,1049,23,682603,2023,6
24,Laranja,1023,24,16722488,2022,6
24,Laranja,1050,24,16761356,2023,6
25,Mandioca,1024,25,18200277,2022,6
25,Mandioca,1051,25,18452547,2023,6
26,Tomate,1025,26,3856430,2022,6
26,Tomate,1052,26,3789222,2023,6
27,Uva,1026,27,1502371,2022,6
27,Uva,1053,27,1664777,2023,6
